EconomicIndicatorId,ObsDate,Value
64424510369,9/1/2005,-0.5
64424510369,10/1/2005,-0.9
64424510369,11/1/2005,-0.4
64424510369,12/1/2005,0.2
64424510369,1/1/2006,-0.2
64424510369,2/1/2006,0.2
64424510369,3/1/2006,0.5
64424510369,4/1/2006,1.2
64424510369,5/1/2006,1.8
64424510369,6/1/2006,2.7
64424510369,7/1/2006,3.3
64424510369,8/1/2006,3
64424510369,9/1/2006,3.4
64424510369,10/1/2006,2.9
64424510369,11/1/2006,2.2
64424510369,12/1/2006,2.4
64424510369,1/1/2007,3
64424510369,2/1/2007,3.4
64424510369,3/1/2007,3.1
64424510369,4/1/2007,1.9
64424510369,5/1/2007,1.9
64424510369,6/1/2007,1.3
64424510369,7/1/2007,0.8
64424510369,8/1/2007,1.4
64424510369,9/1/2007,1.5
64424510369,10/1/2007,1.6
64424510369,11/1/2007,2.2
64424510369,12/1/2007,1.9
64424510369,1/1/2008,2.5
64424510369,2/1/2008,2.8
64424510369,3/1/2008,2.5
64424510369,4/1/2008,1.9
64424510369,5/1/2008,2.4
64424510369,6/1/2008,2.2
64424510369,7/1/2008,1.7
64424510369,8/1/2008,1.4
64424510369,9/1/2008,2
64424510369,10/1/2008,2.4
64424510369,11/1/2008,2.2
64424510369,12/1/2008,2.7
64424510369,1/1/2009,3.6
64424510369,2/1/2009,5.7
64424510369,3/1/2009,5.5
64424510369,4/1/2009,4.8
64424510369,5/1/2009,3.7
64424510369,6/1/2009,4.1
64424510369,7/1/2009,2.8
64424510369,8/1/2009,2.2
64424510369,9/1/2009,1.6
64424510369,10/1/2009,2
64424510369,11/1/2009,1.9
64424510369,12/1/2009,2.1
64424510369,1/1/2010,0.2
64424510369,2/1/2010,-2.4
64424510369,3/1/2010,-2.6
64424510369,4/1/2010,-0.4
64424510369,5/1/2010,1.9
64424510369,6/1/2010,2.1
64424510369,7/1/2010,3.8
64424510369,8/1/2010,4
64424510369,9/1/2010,4.3
64424510369,10/1/2010,3.9
64424510369,11/1/2010,4.7
64424510369,12/1/2010,6.2
64424510369,1/1/2011,6.2
64424510369,2/1/2011,7.5
64424510369,3/1/2011,9.5
64424510369,4/1/2011,8.8
64424510369,5/1/2011,6.3
64424510369,6/1/2011,5.6
64424510369,7/1/2011,5.9
64424510369,8/1/2011,6.8
64424510369,9/1/2011,8.4
64424510369,10/1/2011,8.5
64424510369,11/1/2011,9.1
64424510369,12/1/2011,8.2
64424510369,1/1/2012,7.9
64424510369,2/1/2012,6
64424510369,3/1/2012,4.4
64424510369,4/1/2012,4.4
